Composer	Title	RISM ID	A number	B number
"Haydn, Joseph$d1732-1809$055803"	"The celebrated overture ... performed at Messrs. Bach & Abel's concerts adapted for the piano forte or harpsichord [London, Longman & Broderip]"	990028410	H 4260	
"Haydn, Joseph$d1732-1809$055803"	"Grande sonate pour le forte-piano ... œuvre 92 [Paris, B. Viguerie (écrit par Ribière)]"	990028117	H 3964	
"Haydn, Joseph$d1732-1809$055803"	"... opera 36 [London, Longman & Broderip]"	990028431	H 4282; HH 4282	
"Haydn, Joseph$d1732-1809$055803"	"A new grand sonata, for the piano forte ... op. 78 [London, Longman, Clementi & Co.]"	990028116	H 3963; HH 3963	
"Haydn, Joseph$d1732-1809$055803"	"Twelve elegant & familiar canzonetts ... accommodated to English words (chiefly written on purpose) and adapted for the piano forte or harpsichord, with accompaniments ad libitum [London, S., A. & P. Thompson]"	990028201	H 4050; HH 4050	
"Händel, Georg Friedrich$d1685-1759$036552"	"Alexander's feast, or The power of musick. An ode wrote in honour of St. Cecilia by M|r Dryden, set to musick by M|r Handel, with the recitativo's, songs, symphonys and chorus's for voices & instruments, together with the cantata, duet, and songs, as perform'd at the Theatre Royal, in Covent Garden, publish'd by the author [enthält auch die italienische Kantate: Cecilia volgi un sguardo, sowie An additional song sung by Sigr. Hannibali: Sei del ciel dono perfetto] [London, W. Randall]"	990025278	H 995; HH 995	
"Händel, Georg Friedrich$d1685-1759$036552"	"Dryden's ode on S|t Cecilia's Day. Composed by M|r Handel [Nr. 10-11 der Sammlung: The New Musical Magazine, veröffentlicht zusammen mit: Acis and Galatea, 1784] [[London], [Harrison & Co.]]"	990025320	H 1040; HH 1040	
"Händel, Georg Friedrich$d1685-1759$036552"	"A new edition of six concertos for the harpsicord or organ [London, W. Randall]"	990025459	H 1213; HH 1213	
"Händel, Georg Friedrich$d1685-1759$036552"	"New edition, Messiah, an oratorio [London, Bland & Weller; London, Bland & Weller]"	990025019	H 721; HH 721	
"Händel, Georg Friedrich$d1685-1759$036552"	"Acis and Galatea. A masque. Composed by M|r Handel, for the voice, harpsichord, and violin [London, Harrison & Co.]"	990024713	H 385; HH 385	
"Händel, Georg Friedrich$d1685-1759$036552"	"The grand Dettingen Te Deum; composed by M|r Handel, for the voice, harpsichord, and violin, with the chorusses in score [London, Harrison & Co.]"	990025440	H 1194; HH 1194	
"Hüllmandel, Nicolas-Joseph$d1756-1823$030001580"	"... op. XI [London, Longman & Broderip]"	990031740	H 7799	
"Humphries, John$d1707c-1733$030012422"	"XII Sonatas [G, e, c, f, D, a, e, Es, E, c, g, F] for two violins; with a through bass for the harpsichord ... opera prima [London, David Rutherford]"	990031863	H 7926	
"Hook, James$d1746-1827$098817"	"Ma chère amie. A favorite song, sung by Mr. Incledon at Vauxhall [London, Longman & Broderip]"	990031033	H 7004; HH 7004	
"Howard, Samuel$d1710-1782$030004494"	"Songs and cantatas ... for the germanflute [London, Harrison & Co.]"	990031482	H 7486; HH 7486	
"Hook, James$d1746-1827$098817"	"The double disguise. A comic opera ... opera 32 [London, John Preston]"	990030513	H 6467; HH 6467	
"Gagliano, Marco da$d1582-1643$030003811"	"Il quinto libro de madrigali, a cinque voci [Venezia, Angelo Gardano & fratelli]"	990019379	G 114; GG 114	
"Galliard, John Ernest$d1680c-1749$030004454"	"The morning hymn, taken from the fifth book of Milton's Paradise lost ..., the overture, accompanyments & chorusses added by Benjamin Cooke. [London, Welcker]"	990019462	G 231	
"Gallo, Alberto$d18.sc$030003943"	"Twelve sinfonie or sonatas in 4 parts, for two violins, a tenor, with a bass for the violoncello & harpsicord, compos'd in an easy and pleasing stile ... opera 2|d|a [London, John Walsh]"	990019483	G 260	
"Galuppi, Baldassare$d1706-1785$041444"	"IL | MONDO ALLA ROVERSA, | O SIA | LE DONNE CHE COMANDANO; | DRAMMA GIOCOSO PER MUSICA | DAL | Sgr. BALDASSERO GALUPPI | DETTO IL BURANELLO. | ACCOMODATO PER IL CLAVICEMBALO | DAL ORIGINALE VENETIANO. | [printer's mark] |  IN LIPSIA | Presso GIO. GOTTL. IMAN. BREITKOPF. | 1758."	990019502	G 279; GG 279	
"Galuppi, Baldassare$d1706-1785$041444"	"Sonate [C, d, a, D, F, As] per cembalo ... [op. 1] [London, John Walsh]"	990019519	G 298; GG 298	
"Frescobaldi, Girolamo$d1583-1643$077850"	"[5. Auflage mit neuen Kompositionen, in:] Toccate d'intavolatura di cimbalo et organo, partite di diverse arie e corrente, balletti, ciaccone, passachagli... libro 1|o [Roma, Nicolò Borboni]"	990019013	F 1859; FF 1859	
"Geminiani, Francesco$d1687-1762$0487103"	"Celebrated six concertos, as perform'd by Mr. Cramer ... adapted for the harpsichord, organ, or pianoforte ([handschriftlich:] op. 2) [London, G. Goulding]"	990020661	G 1464	
"Geminiani, Francesco$d1687-1762$0487103"	"[Op. 1, Nr. 7-12:] Sonatas of three parts for two violins, a violoncello and thorough bass made out of Geminianis solos ... by Francesco Barsanti. [London, John Walsh]"	990020695	G 1499	
"Geminiani, Francesco$d1687-1762$0487103"	"Concerti grossi [D, B, C, F, g, A] con due violini, viola e violoncello di concertino obligati, e due altri violini, e basso di concerto grosso ... composti delli sei soli della prima parte dell'opera quinta d'Arcangelo Corelli [London, John Walsh]"	990020718	G 1525; GG 1525	
"Geminiani, Francesco$d1687-1762$0487103"	"Sonatas ... for two violins with a thorough bass for the harpsichord or violoncello, made from the solos of Francesco Geminiani. [London, John Walsh]"	990020696	G 1500	
"Edelmann, Jean-Frédéric$d1749-1794$035814"	"A favourite overture for the harpsichord or pianoforte, with accompaniments for two violins, two french horns, and violoncello ad libitum ... opera 4|t|h [London, John Welcker]"	990016769	E 386; EE 386	
"Edelmann, Jean-Frédéric$d1749-1794$035814"	"Edelman's celebrated overture for the harpsichord or piano forte, with an accompaniment for a violin [London, J. Cooper]"	990016774	E 392	
"Edelmann, Jean-Frédéric$d1749-1794$035814"	"Six grand lessons for the forte piano or harpsichord [London, Welcker]"	990016749	E 366	
"Eberl, Anton$d1765-1807$jAscertained$030000926"	"Air with variations ... [London, Monzani & Cimador]"	990016580	E 151	
"Egli, Johann Heinrich$d1742-1810$030000942"	"Lieder der Weisheit und Tugend zur Bildung des Gesangs und des Herzens. In Musik gesetzt [für 1-4 Singstimmen mit bc] [Zürich, David Bürckli]"	990016862	E 480; EE 480	
"Eberl, Anton$d1765-1807$030000926"	"The last composition of the celebrated Mozart: a sonata in C minor, the accompaniments of which were left unfinished, and which were accomplished by Mr. Pleyel [London, Edinburgh, Corri, Dussek & Co.]"	990016575	E 146	
"Eckard, Johann Gottfried$d1735-1809$030000935"	"Minuet d'Exaudet, commonly called Marshal Saxe's minuet, with variations for the harpsichord, or piano forte [London, Robert Bremner]"	990016735	E 352	
"Dalayrac, Nicolas-Marie$d1753-1809$027764"	"Philippe et Georgette. Comédie en un acte en prose par le citoyen Monvel ... œuvre XVI [Paris, Nicolas-Marie Dalayrac (Nicolas-Antoine Huguet)]"	990012419	D 492; DD 492	
"Destouches, André Cardinal$d1672-1749$jAscertained$08699"	"AMADIS | DE GRECE, | TRAGEDIE | EN MUSIQUE, | Représenté pour la premiere fois, par l'Academie Royale de Musique, | le vingt.sixiéme Mars 1699. | Troisiéme Edition revuë, corrigée, & augmentée, de tous les Changements | & Additions; conformément à la Remise du trois Novembre 1711. | A PARIS, | Chez CHRISTOPHE BALLARD, seil Imprimeur du Roy pour la Musique, ruë S. JEAN de Beauvais, au Mont-Parnasse. | M. DCCXII. | Avec Privilege de Sa Majesté."	990013649	D 1818; DD 1818	
"Dibdin, Charles$d1745-1814$0164414"	"Cheap experience [London, author]"	990014144	D 2366; DD 2366	
"Dibdin, Charles$d1745-1814$0164414"	"The tye wig volunteers [London, author]"	990014165	D 2387; DD 2387	
"Dibdin, Charles$d1745-1814$0164414"	"The flowing can [London, author]"	990014287	D 2513; DD 2513	
"Dibdin, Charles$d1745-1814$0164414"	"All the birds in the air [London, author]"	990014360	D 2587; DD 2587	
"Dibdin, Charles$d1745-1814$0164414"	"Leap year [London, author]"	990014370	D 2597; DD 2597	
"Dibdin, Charles$d1745-1814$0164414"	"The lucky escape [London, author]"	990014372	D 2599; DD 2599	
"Dibdin, Charles$d1745-1814$0164414"	"The rara avis [London, author]"	990014381	D 2608; DD 2608	
"Dibdin, Charles$d1745-1814$0164414"	"The reward of fidelity [London, author]"	990014382	D 2609; DD 2609	
"Dibdin, Charles$d1745-1814$0164414"	"The royal nuptials [London, author]"	990014384	D 2611; DD 2611	
"Dibdin, Charles$d1745-1814$0164414"	"The sailor's consolation [London, author]"	990014385	D 2612; DD 2612	
"Dibdin, Charles$d1745-1814$0164414"	"The soldier's last retreat [London, author]"	990014392	D 2619; DD 2619	
"Dibdin, Charles$d1745-1814$0164414"	"Tack and tack [London, author]"	990014393	D 2620; DD 2620	
"Dibdin, Charles$d1745-1814$0164414"	"Tantivy [London, author]"	990014394	D 2621; DD 2621	
"Dibdin, Charles$d1745-1814$0164414"	"Virtue [London, author]"	990014396	D 2623; DD 2623	
"Dibdin, Charles$d1745-1814$0164414"	"The bowmen of Kent [London, author]"	990014413	D 2640; DD 2640	
"Dibdin, Charles$d1745-1814$0164414"	"The etymology of quiz [London, author]"	990014415	D 2642; DD 2642	
"Dibdin, Charles$d1745-1814$0164414"	"The fair [London, author]"	990014416	D 2643; DD 2643	
"Dibdin, Charles$d1745-1814$0164414"	"The Grecian history [London, author]"	990014418	D 2645; DD 2645	
"Dibdin, Charles$d1745-1814$0164414"	"A hint to the ladies [London, author]"	990014419	D 2646; DD 2646	
"Dibdin, Charles$d1745-1814$0164414"	"Honesty in tatters [London, author]"	990014420	D 2647; DD 2647	
"Dibdin, Charles$d1745-1814$0164414"	"The miseries of war [London, author]"	990014427	D 2654; DD 2654	
"Dibdin, Charles$d1745-1814$0164414"	"A dose for the dons [London, author]"	990014523	D 2750; DD 2750	
"Dibdin, Charles$d1745-1814$0164414"	"The constant sailor [London, author]"	990014538	D 2765; DD 2765	
"Dibdin, Charles$d1745-1814$0164414"	"A drop of the creature [London, author]"	990014544	D 2771; DD 2771	
"Dibdin, Charles$d1745-1814$0164414"	"Patrick O' Row [London, author]"	990014564	D 2791; DD 2791	
"Dibdin, Charles$d1745-1814$0164414"	"Love's lesson [London, author]"	990014149	D 2371; DD 2371	
"Dibdin, Charles$d1745-1814$0164414"	"The mad lover [London, author]"	990014150	D 2372; DD 2372	
"Dibdin, Charles$d1745-1814$0164414"	"Mounseer Mong Tong Paw [London, author]"	990014153	D 2375; DD 2375	
"Dibdin, Charles$d1745-1814$0164414"	"On gratitude [London, author]"	990014308	D 2534; DD 2534	
"Dibdin, Charles$d1745-1814$0164414"	"Bill Bobstay [London, author]"	990014362	D 2589; DD 2589	
"Dibdin, Charles$d1745-1814$0164414"	"The waggoner [London, author]"	990014397	D 2624; DD 2624	
"Dibdin, Charles$d1745-1814$0164414"	"Humanity's cot [London, author]"	990014421	D 2648; DD 2648	
"Dibdin, Charles$d1745-1814$0164414"	"The quietus [London, author]"	990014434	D 2661; DD 2661	
"Dibdin, Charles$d1745-1814$0164414"	"The recompence of constancy [London, author]"	990014435	D 2662; DD 2662	
"Dibdin, Charles$d1745-1814$0164414"	"Valentine's train [London, author]"	990014531	D 2758; DD 2758	
"Dibdin, Charles$d1745-1814$0164414"	"Bonny Kate [London, author]"	990014533	D 2760; DD 2760	
"Dibdin, Charles$d1745-1814$0164414"	"Irish Italian song [London, author]"	990014550	D 2777; DD 2777	
"Dibdin, Charles$d1745-1814$0164414"	"Soldier Dick [London, author]"	990014577	D 2804; DD 2804	
"Dibdin, Charles$d1745-1814$0164414"	"Nancy dear [London, author]"	990014159	D 2381; DD 2381	
"Dibdin, Charles$d1745-1814$0164414"	"All the world's a masquerade [London, author]"	990014276	D 2502; DD 2502	
"Dibdin, Charles$d1745-1814$0164414"	"Bachelor's hall [London, author]"	990014277	D 2503; DD 2503	
"Dibdin, Charles$d1745-1814$0164414"	"The Greenwich pensioner [London, author]"	990014293	D 2519; DD 2519	
"Dibdin, Charles$d1745-1814$0164414"	"The Indian song [London, author]"	990014299	D 2525; DD 2525	
"Dibdin, Charles$d1745-1814$0164414"	"Poor Tom, or The sailor's epitaph [London, author]"	990014313	D 2539; DD 2539	
"Dibdin, Charles$d1745-1814$0164414"	"Saturday night at sea [London, author]"	990014319	D 2545; DD 2545	
"Dibdin, Charles$d1745-1814$0164414"	"Taffy and Griddy [London, author]"	990014326	D 2552; DD 2552	
"Dibdin, Charles$d1745-1814$0164414"	"The beggar [London, author]"	990014361	D 2588; DD 2588	
"Dibdin, Charles$d1745-1814$0164414"	"Meum and tuum [London, author]"	990014376	D 2603; DD 2603	
"Dibdin, Charles$d1745-1814$0164414"	"Roses and lilies [London, author]"	990014383	D 2610; DD 2610	
"Dibdin, Charles$d1745-1814$0164414"	"The blind sailor [London, author]"	990014411	D 2638; DD 2638	
"Dibdin, Charles$d1745-1814$0164414"	"The Savoyard [London, author]"	990014436	D 2663; DD 2663	
"Dibdin, Charles$d1745-1814$0164414"	"Every man's friend [London, author]"	990014524	D 2751; DD 2751	
"Dibdin, Charles$d1745-1814$0164414"	"Jervis for ever [London, author]"	990014525	D 2752; DD 2752	
"Dibdin, Charles$d1745-1814$0164414"	"Valentine's day [London, author]"	990014530	D 2757; DD 2757	
"Dibdin, Charles$d1745-1814$0164414"	"Buxom Nan [London, author]"	990014534	D 2761; DD 2761	
"Dibdin, Charles$d1745-1814$0164414"	"Love's concerto [London, author]"	990014558	D 2785; DD 2785	
"Dibdin, Charles$d1745-1814$0164414"	"A savage love song [London, author]"	990014572	D 2799; DD 2799	
"Dibdin, Charles$d1745-1814$0164414"	"Shenkin & Winny [London, author]"	990014573	D 2800; DD 2800	
"Dibdin, Charles$d1745-1814$0164414"	"The true English sailor [London, author]"	990014588	D 2815; DD 2815	
"Dibdin, Charles$d1745-1814$0164414"	"Jack's claim to Poll [London, author]"	990014148	D 2370; DD 2370	
"Dibdin, Charles$d1745-1814$0164414"	"The sailor's maxim [London, author]"	990014164	D 2386; DD 2386	
"Dibdin, Charles$d1745-1814$0164414"	"The lamplighter [London, author]"	990014305	D 2531; DD 2531	
"Dibdin, Charles$d1745-1814$0164414"	"Peggy Perkins [London, author]"	990014309	D 2535; DD 2535	
"Dibdin, Charles$d1745-1814$0164414"	"The padlock. A comic opera [London, John Johnston; for the author]"	990014331	D 2557; DD 2557	
"Dibdin, Charles$d1745-1814$0164414"	"The complaint [London, author]"	990014522	D 2749; DD 2749	
"Dibdin, Charles$d1745-1814$0164414"	"Death alive [London, author]"	990014540	D 2767; DD 2767	
"Dibdin, Charles$d1745-1814$0164414"	"Morality in the foretop [London, author]"	990014559	D 2786; DD 2786	
"Dibdin, Charles$d1745-1814$0164414"	"Swizzy [London, author]"	990014586	D 2813; DD 2813	
"Dibdin, Charles$d1745-1814$0164414"	"True friendship [London, author]"	990014590	D 2817; DD 2817	
"Dibdin, Charles$d1745-1814$0164414"	"The woodman [London, author]"	990014597	D 2824; DD 2824	
"Dibdin, Charles$d1745-1814$0164414"	"Wigs, or the Inundation [London, author]"	990014594	D 2821; DD 2821	
"Dibdin, Charles$d1745-1814$0164414"	"The virtue of drunkeness [London, author]"	990014591	D 2818; DD 2818	
"Dibdin, Charles$d1745-1814$0164414"	"The watery grave [London, author]"	990014592	D 2819; DD 2819	
"Dibdin, Charles$d1745-1814$0164414"	"The wily fox [London, author]"	990014595	D 2822; DD 2822	
"Fontanelli, Alfonso$d1557-1622$030009406"	"... tertia impressione [Venezia, stampa del Gardano; appresso Bartolomeo Magni]"	990018667	F 1480; FF 1480	
"Fischer, Johann Christian$d1733-1800$030001084"	"[Arrangement:] A favourite concerto [adapted] for the harpsichord [London, Welcker]"	990018208	F 990; FF 990	
"Fischer, Johann Christian$d1733-1800$030001084"	"[Arrangement:] A third concerto adapted for the harpsicord or piano forte [London, Welcker]"	990018216	F 998	
"Freake, John George$d18.sc$030012300"	"Six sonatas in three parts for two violins or two german flutes (or one german flute and violin) with a bass ... opera seconda [London, William Smith]"	990018978	F 1823	
"Frescobaldi, Girolamo$d1583-1643$077850"	"Il secondo libro di toccate, canzone, versi d'hinni, Magnificat, gagliarde, correnti, et altre partite d'intavolatura di cimbalo et organo [[Roma], [Roma, Nicolò Borboni]"	990019021	F 1867; FF 1867	
"Fontanelli, Alfonso$d1557-1622$030009406"	"[...] [Venezia, stampa del Gardano; appresso Bartolomeo Magni]"	990018670	F 1483; FF 1483	
"Gagliano, Marco da$d1582-1643$030003811"	CANTO | IL SESTO LIBRO | DE MADRIGALI A CINQVE VOCI | DI MARCO DA GAGLIANO | Maestro di Cappella Del Serenissimo | Gran Duca di Toscana. | AL MOLTO ILL.re SIG.r E PATRON MIO COLLENDISSIMO | IL SIGNOR COSIMO DEL SERA. | Nuonamente [!] Stampati. | [printer's mark] | STAMPA DEL GARDANO IN VENETIA A MDCXVII. | Appresso Bartholomeo Magni.	990019381	G 116; GG 116;	B/I 1617 14
"Galuppi, Baldassare$d1706-1785$041444"	"The favourite songs in the opera call'd Il filosofo di campagna [book 1 (2), mit Stücken aus: Il mondo nella luna, davon 1 Stück von G. Cocchi] [London, John Walsh]"	990019500	G 277; GG 277	
"Gagliano, Marco da$d1582-1643$030003811"	"CANTO | DI MARCO | DA GAGLIANO, | IL QVARTO LIBRO | DE MADRIGALI. | A CINQVE VOCI. | Nouamente Stampato. | [printer's mark] | IN VENETIA. | APPRESSO ANGELO GARDANO. | M D C V I."	990019377	G 112; GG 112;	B/I 1606 11
"Garth, John$d1721-1810c$030006204"	"Six sonatas [G, F, c, Es, A, E] for the harpsichord, piano forte, and organ; with accompanyments for two violins, and a violoncello ... opera seconda [London, Robert Bremner; R. Johnson; T. Smith; York, T. Haxby; for the author]"	990019647	G 434; GG 434	
"Gasparini, Quirino$d1721-1778$030001239"	"[ohne Vornamen, Zuweisung fraglich:] VI Trii [G, B, F, Es, A, F] per due violini e violoncello [ [London, John Johnson]"	990019679	G 468; GG 468	
"Dussek, Jan Ladislav$d1760-1812$025967"	"A sonata [A] for the pianoforte ... op. 43 [London, Longman, Clementi & Co. (engraved by Scarratts)]"	990016127	D 4421	
"Dance, William$d1755-1840$030014659"	"[93] Preludes for the piano forte, in various keys [London, Lewis Lavenu]"	990012780	D 884; DD 884	
"Desaubrys, John Phillip$d18.sc$030012664"	"Eight sonatas [B, A, c, B, E, Es, G, F] for two violins, a violoncello, and a thorough bass for the harpsichord [London, John Johnson; for the author]"	990013521	D 1683; DD 1683	
"Händel, Georg Friedrich$d1685-1759$036552"	"Judas Maccabeus. An oratorio, composed by M|r Handel, for the voice, harpsichord, and violin, with the chorusses in score [London, Harrison & Co.]"	990024943	H 641; HH 641	
"Händel, Georg Friedrich$d1685-1759$036552"	"Semele. As it is perform'd at the Theatre Royal in Covent Garden, set to musick by M|r Handel [London, J. Walsh]"	990025200	H 907; HH 907	
"Händel, Georg Friedrich$d1685-1759$036552"	"Overture in Samson [[London], J. Bland]"	990025133	H 839; HH 839	
"Corelli, Arcangelo$d1653-1713$030000734"	"Sonate a tre ... nouvelle édition trez exactement corrigée par Estienne Roger sur la partition [London, Benjamin Cooke (i)]"	990011068	C 3683; CC 3683	
"Corelli, Arcangelo$d1653-1713$030000734"	"Concerti grossi ... XII great concertos, or sonatas, for two violins and a violoncello: or for two violins more, a tenor, and a thorough-bass: which may be doubled at pleasure, being the sixth and last work of Arcangelo Corelli [London, John Walsh & John Hare]"	990011230	C 3845; CC 3845	
"Gluck, Christoph Willibald$d1714-1787$067338"	"... [troisième édition] [Paris, Des Lauriers]"	990021872	G 2749; GG 2749	
"Hasse, Johann Adolf$d1699-1783$051928"	"[op. 4, Nr. 1:] A favourite concerto [F] in eight parts ... [London, John Johnson]"	990026468	H 2283	
"Haydn, Joseph$d1732-1809$055803"	"[p.1:] DIE SCHOEPFUNG. │ Ein │ Oratorium │ in Musik gesetzt │von │ JOSEPH HAYDN │ Doctor der Tonkunst, der königl. Schwedischen Academie der │ Musik Mitglied, und Kapellmeister in wirklichen Diensten │ seiner Durchlaucht des Herrn Fürsten von Esterhazy. │ THE CREATION. │ An │ Oratorio │ Composed by │ JOSEPH HAYDN. │ Doctor of Musik [!], and Member of the royal Society of Musik in Sweden, in actuel [!] Service of his Highness │ the Prince of Esterhazy. │ Vienna 1800."	990026686	H 2521; HH 2521	
"Haydn, Joseph$d1732-1809$055803"	"Doctr. Haydn's twelve original ballads for the pianoforte or harpsichord [Dublin, Edmund Lee]"	990026796	H 2633; HH 2633	
"Haydn, Joseph$d1732-1809$055803"	"[vol. 1, f. 1r, title:] DIE JAHRESZEITEN | nach Thomson. | in Musik gesetzt von | JOSEPH HAYDN. | PARTITUR | [vignette] | Originalausgabe. | Bey Breitkopf & Härtel in Leipzig."	990026707	H 2542; HH 2542	
"Haydn, Joseph$d1732-1809$055803"	"[vol. 1, title page:] HAYDN'S JAHRESZEITEN | ERSTE ABTHEILUNG. | LES SAISONS | PAR | JOSEPH HAYDN. | PREMIERE PARTIE."	990026708	H 2543; HH 2543	
"Gluck, Christoph Willibald$d1714-1787$067338"	"ARMIDE | DRAME HÉROIQUE | Mis en Musique | par | GLUCK | Réprésenté pour la première Fois, | par l'Académie Nat.|l|e de Musique | le 23. Septembre 1777. | Prix 40.|t|t | [troisième édition] A PARIS. | Chez DESLAURIERS M.d de Papier, rue S.|t Honoré à côté de celles des Prouvaires | Et aux Adresses ordinaires."	990021809	G 2679; GG 2679	
"Gluck, Christoph Willibald$d1714-1787$067338"	"Echo et Narcisse. Drame lyrique en trois actes avec un prologue par Mr. le Baron de T. ... représenté pour la première fois par l'Académie royale de musique le mardy 21 septembre 1779 [Paris, Des Lauriers]"	990021864	G 2739; GG 2739	
"Gluck, Christoph Willibald$d1714-1787$067338"	"Alceste. Tragédie. Opéra en trois actes ... représentée pour la première fois par l'Académie royale de musique le 30 avril, 1776 [Paris, Bureau d'Abonnement Musical; Lyon, Castaud]"	990021769	G 2638; GG 2638	
"Gossec, François-Joseph$d1734-1829$079417"	"Les pêcheurs. Comédie en un acte représentée pour la première fois par les comédiens italiens ordinaires du roy, le 7 juin 1766 ... œuvre X|e [Paris, auteur; Mme Bérault; aux adresses ordinaires]"	990022149	G 3050; GG 3050	
