UTL Catkey	100	245	260	300	RISM A number	RISM B number	RISM ID	Correct A number	Correct B number	CDN-Tu?	Notes	RISM ID no	[ACTUAL NUMBERS]	New 510
3798177	"Méhul, Étienne Nicolas,1763-1817"	10$aPartition d'Une folie;$bopéra en deux actes.$cParoles de Bouilly.	0\$aParis$b[Pleyel?$c1802]	226 p.	M 2071		990040754			No		RISM ID no. 	990040754	RISM ID no. 990040754
3798180	"Meibom, Marcus,d. 1711"	"10$aAntiqvae mvsicae avctores septem,$bgraece et latine.  Marcvs Meibomivs restituit ac notis explicavit."	"0\$aAmstelodami,$bApud L. Elzevirium,$c1652."	"2 v.diagrs., music, 5 fold. tables."		"VI, 568"	Not in RISM							
3798208	"Mercadier, Jean Baptiste,1750-1816"	10$aNouveau systême de musique théorique et pratique.	"0\$aParis,$bValade,$c1776."	"lxxii, 304, [4] p.8 fold. plates (music)"		"VI, 571"	Not in RISM							
3798211	"Mestrino, Niccolò,1748-1790"	"00$aDouze grands solo ou études pour le violon,$bchoisis dans les ouvrages du célèbre Mestrino."	"0\$aParis,$bB. Viguerie$c[between 1802 and 1804]"	v. 2.	M 2429		990041101			No		RISM ID no. 	990041101	RISM ID no. 990041101
3798233	"Miller, Edward,1735-1807"	"10$aElements of thorough bass and composition,$bin which the rules of acompaniment for the harpsichord or piano-forte are rendered amusing$cby the introduction of eight Italian, eight French & twelve English songs collected from the works of eminent composers, antient and modern. With proper lessons for practice.  Written by way of conversation between the master & his pupil, for the use of such performers as are unacquainted with the principles of harmony.  Opera quinta."	"0\$aLondon,$bPrinted & sold by Broderip & Wilkinson$c[ca. 1800]"	"[1], 88 p.music."		"VI, 583"	Not in RISM							
3798236	"Miller, Edward,1735-1807"	"04$aThe psalms of David for the use of parish churches;$bthe words selected from the version of Tate & Brady$cby the Rev. George Hay Drummond, the music selected, adapted & composed by Edward Miller."	"0\$aLondon,$bW. Miller$c[1790]"	"[3], xlvii, 142, 4 p."	MM 2774a		991009975			No		RISM ID no. 	991009975	RISM ID no. 991009975
3798239	"Mitchell, Joseph,1684-1738"	13$aAn ode on the power of musick.	"0\$aLondon,$bT. Jauncy,$c1721."	"[6], 12 p."		M 2901	Not in RISM							
3798254	"Monsigny, Pierre-Alexandre,1729-1817."	"13$aLe deserteur;$bdrame en trois actes.$cRepresenté par les Comediens italiens ordinaires du Roi, le 6 mars 1769.  Gravé par Mlle Vendôme et le Sr Moria."	"0\$aParis,$bC. Hérissant$c[1769]"	score (267 p.)	M 3167		990041767			No		RISM ID no. 	990041767	RISM ID no. 990041767
3798262	"Monsigny, Pierre-Alexandre,1729-1817."	"10$aRose et Colas;$bcomedie en un acte.$cRepresentée pour la premiere fois par les Comediens italiens ordinaire du Roy, le jeudy 8. mars 1764, par Mr***.  Gravé par le Sr Hue."	"0\$aParis,$bC. Hérissant$c[1764]"	"[1] p., score (154 p.)"	M 3272		990041847			No		RISM ID no. 	990041847	RISM ID no. 990041847
3798264	"Moretti, Federico,1769-1839"	"10$aPrincipios para tocar la guitarra de seis ordenes,$bprecedidos de los Elementos generales de la musica."	"0\$a[Madrid,$bImpr. de Sancha,$c1807]"	"[10], 21, [2], 8, [1] p., 9 leaves, 10-53 p.of music."		"VI, 2, 597"	Not in RISM							
3798265	"Mortellari, A."	"10$aTwelve Italian vocal pieces,$bfor one and two voices."	"0\$aLondon,$bPrinted for the author & sold at M.C. Mortellari$c[ca. 1803]"	score (25 p.)			Not in RISM							
3798311	"Handel, George Frideric,1685-1759."	"00$aGrand Dettingen Te Deum,$barranged for the organ or piano forte$cby Billington."	"0\$aLondon,$bPrinted & sold by R. Birchall$c[between 1824 and 1829]"	"[1] p., score (49 p.)"			Not in RISM							
3798377	"Mozart, Wolfgang Amadeus,1756-1791."	"00$aOriginal quartetts for two violins,$btenor & bass.  Book [1-2]"	"0\$aLondon,$bClementi, Banger, Collard, Davis & Collard$c[between 1810 and 1830]"	2 v. (4 parts each)	RISM		Not in RISM							
3798397	"Eichner, Ernst,1740-1777"	"00$aSix quatuors pour un violoncelle,$bviolon, alto et basse. Oeuvre XIe.."	"0\$aLa Haye,$bB. Hummel$c[1780]"	4 parts.	E 537		990016917			No		RISM ID no. 	990016917	RISM ID no. 990016917
3798414	"Mozart, Wolfgang Amadeus,1756-1791."	00$aThree sonatas for the harpsichord$bor piano forte with an accompanyment for a violin.  Op. 2.	"0\$aLondon,$bPrinted by Longman, Clementi$c[between 1798 and 1801]"	2 parts.	M 6521		990045055			No		RISM ID no. 	990045055	RISM ID no. 990045055
3798417	"Mozart, Wolfgang Amadeus,1756-1791."	"00$aThree sonatas for the harpsichord or piano forte, with an accompaniment for a violin.  Op. 2."	"0\$aLondon,$bPrinted by Goulding, Phipps, D'Almaine$c[between 1804 and 1806]"	2 parts.	MM 6473a		991028474			No		RISM ID no. 	991028474	RISM ID no. 991028474
3798420	"Mozart, Wolfgang Amadeus,1756-1791."	"00$aThree [i.e. four] sonatas for the grand or small piano forte, with an accompaniment for a violin."	"0\$aLondon,$bPrinted by Broderip & Wilkinson$c[between 1798 and 1808]"	2 parts.	MM 6542a		991028514			No		RISM ID no. 	991028514	RISM ID no. 991028514
3798441	"Mozart, Wolfgang Amadeus,1756-1791."	"10$aThree sonatas for the piano-forte or harpsichord, with an accompaniment for a violin & violoncello.  Op. XV."	"0\$aLondon,$bM. Clementi$c[between 1801 and 1806]"	parts 2	M 6396		990044930			No		RISM ID no. 	990044930	RISM ID no. 990044930
3798455	"Mozart, Leopold,1719-1787"	"00$aGründliche Violinschule,$bmit vier Kupfertafeln und einer Tabelle."	"0\$aAugsburg,$bGedruckt bey J.J. Lotter, auf Kosten des Verfassers,$c1770."	"[16], 268, [8] p.music (part fold.) plates, port."		"VI, 601 "					Unclear			
3798469	"Nassarre, Pablo,b. 1664"	"10$aEscvela mvsica,$bsegvn la practica moderna, dividida en primera, y segvnda parte ..."	"0\$aZaragoza,$bLos herederos de D. de Larvmbe,$c1723-24 [v. 1, 1724]"	v.1		"VI, 610"	Not in RISM							
3798473		"02$aA New selection of hymns and anthems used at Bethesda Chapel &c.$bAdapted for the voice, organ or piano forte."	"0\$aDublin,$bM. Mc.Calley$c[between 1801 and 1814]"	20 p.			Not in RISM							
3798575	"Haydn, Joseph,1732-1809"	"04$aThe celebrated overture,$bperformed at Messrs. Bach & Abel's concerts, adapted for the piano forte or harpsichord."	"0\$aLondon,$bPrinted by Longman and Broderip$c[between 1782 and 1798]"	0.833333333	H 4833		990028977			No		RISM ID no. 	990028977	RISM ID no. 990028977
3798683	"Paixao Ribeiro, Manoel da,fl. 1789."	"10$aNova arte de viola,$bque ensina a tocalla com fundamento sem mestre, dividida em duas partes, huma especulativa, e outra practica; com estampas das posturas, ou pontos naturaes0, e accidentaes; e com alguns minuettes, e modinhas por musica, e por cifra.  Obra util a toda a qualidade de pessoas; e muito principalmente ás que seguem a vida literaria, e ainda ás senhoras."	"00$aCoimbra,$bNa Real Officina da Universidade,$c1789."	"[2], v, 51 p.music, 8 fold. plates (incl. music)"		"VI, 633"	990048245	"
P 647"		yes		RISM ID no. 	990048245	RISM ID no. 990048245
3798692		"04$a[The Pathway to musicke,$bcontayning sundrie familiar ... rules for the readie ... understanding of the scale, or gamma-ut ... Whereunto is annexed a treatise of descant and certaine tables which doth teach how to remove any song ... from one key to another ..."	"0\$aLondon,$bW. Barley,$c1596]"	[42+] p.		"VI, 969"	not in RISM							
3798710	"[Pergolesi, Giovanni Battista,1710-1736]"	"13$aLa servante maitresse;$bcomédie en deux actes mêlée d'ariettes, parodiées de La serva padrona, intermede italien.$cReprésentée pour la premiere fois, par les Comédien Italiens ordinaires du Roi, le mercredi 14 aoust 1754 ..."	"00$aParis,$bLa veuve Delormel, Gravé par Melle Vendôme, De limprimerie [sic] du Sr Richomme laîné$c[ca. 1754]"	score (77 p.)	P 1398		990048948			no		RISM ID no. 	990048948	RISM ID no. 990048948
3798713	"Pergolesi, Giovanni Battista,1710-1736."	00$aStabat mater.	"00$aLondon,$bI. Walsh$c[1749]"	"[1] p., score (26 p.)"	P 1348		990048900			no		RISM ID no. 	990048900	RISM ID no. 990048900
3798715	"Pergolesi, Giovanni Battista,1710-1736.Spurious and doubtful works"	"13$aLe maitre de musique;$bcomédie mellé d'ariettes, parodiees de litalien [sic]$cRepresentée pour la premiere fois, par les Comediens Italiens ordinaires du Roi (le 28. mai 1755)"	"00$aParis,$bMr De la Chevardiere$c[1755?]"	score (68 p.)	P 1418		990048965			no		RISM ID no. 	990048965	RISM ID no. 990048965
3798731	"Philidor, F. D.(François Danican),1726-1795."	10$aErnelinde;$btragédie lyrique en trois actes.$cReprésenté pour la lere fois par l'Accadémie royalle de musique le 29. novembre 1767 ... ler et 3e acte gravé par le Sr Huguet.	"00$aParis,$bL'auteur, Imprimé par Montulai$c[1769]"	score (324 p.)	P 1825		990049345			no		RISM ID no. 	990049345	RISM ID no. 990049345
3798785		"00$aNouveaux plaisir [sic] des dames;$bou, Vaudeville divertisant [sic], qui se peuvent jouer sur toute sorte d'instrument."	"0\$aParis,$bMme Boivin$c[between 1730 and 1754]"	12 pts. in 1.		"II, 266"	not in RISM							
3798788		00$aNouveau recueil de chansons choisies.	"0\$aLa Haye,$bJ. Neaulme$c[1729-"	v.		"II, 261"	"990070365, 990053599, 990053596"	"R 173a, R 178, R 175"		no	"Should be checked - our holdings seems to contain various volumes and editions, hard to match to RISM holdings"	RISM ID no. 	"990070365, 990053599, 990053596"	"RISM ID no. 990070365, 990053599, 990053596"
3798788		00$aNouveau recueil de chansons choisies.	"0\$aLa Haye,$bJ. Neaulme$c[1729-"	v.		"II, 262"		"R 173a, R 178, R 175"		no	"Should be checked - our holdings seems to contain various volumes and editions, hard to match to RISM holdings"	RISM ID no. 		RISM ID no. 
3798793	"O'Hara, Kane,1714?-1782."	"10$aMidas;$ba comic opera, as it is perform'd at the Theatre Royal in Covent-Garden.  For the harpsicord, voice, German flute, violin, or guitar."	"0\$aLondon,$bI. Walsh$c[1764]"	"[3] p., piano-vocal score (67 p.)"	AN 1786		990071825			no		RISM ID no. 	990071825	RISM ID no. 990071825
3798831	"Page, John,1760?-1812"	"10$aHarmonia sacra;$ba collection of anthems in score,$cselected for cathedral and parochial churches; from the most eminent masters of the sixteenth, seventeenth, and eighteenth centuries."	"0\$aLondon,$bThe Editor$c[1800]"	3 v.		"II, 194"	Not in RISM							
3798834	"Paisiello, Giovanni,1740-1816."	"13$aLe barbier de Seville;$bopéra comique en quatre actes, mis en musique sur la traduction italienne, et remis en français d'après la piece de Mr de Beaumarchais, et parodié sous la musique,$cpar Mr Framery. Représenté devant leurs Majestés à Trianon sur le théâtre de la Reine le 14. 7bre et à Versailles le 28. 8bre 1784."	"0\$aParis,$bRue Neuve des petits champs, et chez Made Baillon$c[178-]"	"[4] p., score (253 p.)"	P 192		990047824			No		RISM ID no. 	990047824	RISM ID no. 990047824
3798887	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called Valentine's day.	"00$aLondon,$bPrinted & sold by the author,$c1797]"	"score (1 v., various pagings)"	DD 2749		DD 2749			No		RISM ID no. 	"990014522, 990014523, 990014524, 990014525, 990014526, 990014527, 990014528, 990014529, 990014530, 990014531"	"RISM ID no. 990014522, 990014523, 990014524, 990014525, 990014526, 990014527, 990014528, 990014529, 990014530, 990014531"
3798887	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called Valentine's day.	"00$aLondon,$bPrinted & sold by the author,$c1797]"	"score (1 v., various pagings)"	DD 2750					Yes		RISM ID no. 		RISM ID no. 
3798887	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called Valentine's day.	"00$aLondon,$bPrinted & sold by the author,$c1797]"	"score (1 v., various pagings)"	DD 2751					Yes		RISM ID no. 		RISM ID no. 
3798887	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called Valentine's day.	"00$aLondon,$bPrinted & sold by the author,$c1797]"	"score (1 v., various pagings)"	DD 2752					Yes		RISM ID no. 		RISM ID no. 
3798887	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called Valentine's day.	"00$aLondon,$bPrinted & sold by the author,$c1797]"	"score (1 v., various pagings)"	DD 2753					Yes		RISM ID no. 		RISM ID no. 
3798887	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called Valentine's day.	"00$aLondon,$bPrinted & sold by the author,$c1797]"	"score (1 v., various pagings)"	DD 2754					No		RISM ID no. 		RISM ID no. 
3798887	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called Valentine's day.	"00$aLondon,$bPrinted & sold by the author,$c1797]"	"score (1 v., various pagings)"	DD 2755					Yes		RISM ID no. 		RISM ID no. 
3798887	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called Valentine's day.	"00$aLondon,$bPrinted & sold by the author,$c1797]"	"score (1 v., various pagings)"	DD 2756					Yes		RISM ID no. 		RISM ID no. 
3798887	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called Valentine's day.	"00$aLondon,$bPrinted & sold by the author,$c1797]"	"score (1 v., various pagings)"	DD 2757					Yes		RISM ID no. 		RISM ID no. 
3798887	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called Valentine's day.	"00$aLondon,$bPrinted & sold by the author,$c1797]"	"score (1 v., various pagings)"	DD 2758					Yes		RISM ID no. 		RISM ID no. 
3798888	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called The general election.	"00$aLondon,$bPrinted & sold by the author,$c1796]"	"score (1 v., various pagings)"	DD 2365					Yes		RISM ID no. 	"990014143, 990014144, 990014145, 990014146, 990014147, 990014148, 990014149, 990014150"	"RISM ID no. 990014143, 990014144, 990014145, 990014146, 990014147, 990014148, 990014149, 990014150"
3798888	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called The general election.	"00$aLondon,$bPrinted & sold by the author,$c1796]"	"score (1 v., various pagings)"	DD 2366					Yes		RISM ID no. 		RISM ID no. 
3798888	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called The general election.	"00$aLondon,$bPrinted & sold by the author,$c1796]"	"score (1 v., various pagings)"	DD 2367					Yes		RISM ID no. 		RISM ID no. 
3798888	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called The general election.	"00$aLondon,$bPrinted & sold by the author,$c1796]"	"score (1 v., various pagings)"	DD 2368					Yes		RISM ID no. 		RISM ID no. 
3798888	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called The general election.	"00$aLondon,$bPrinted & sold by the author,$c1796]"	"score (1 v., various pagings)"	DD 2369					Yes		RISM ID no. 		RISM ID no. 
3798888	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called The general election.	"00$aLondon,$bPrinted & sold by the author,$c1796]"	"score (1 v., various pagings)"	DD 2370					Yes		RISM ID no. 		RISM ID no. 
3798888	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called The general election.	"00$aLondon,$bPrinted & sold by the author,$c1796]"	"score (1 v., various pagings)"	DD 2371					Yes		RISM ID no. 		RISM ID no. 
3798888	"Dibdin, Charles,1745-1814"	10$a[Songs written and composed$cby Mr. Dibdin and sung by him in his new entertainment called The general election.	"00$aLondon,$bPrinted & sold by the author,$c1796]"	"score (1 v., various pagings)"	DD 2372					Yes		RISM ID no. 		RISM ID no. 
3798901	"Doni, Gio. Battista(Giovanni Battista),1593 or 1594-1647"	"10$aDe praestantia musicae veteris libri tres totidam dialogis comprehensi,$bin quibus vetus ac recens musica, cum singulis earum partibus, accurate inter se conferuntur.  Adiecto ad finem onomastico selectorum vocabulorum, ad hanc facultatem cum elegantia & proprietate tractandam, pertinentium."	"00$aFlorentiae,$bTypis A. Massae,$c1647."	"[7], 266 (i.e. 166) p."		"VI, 273"	Not in RISM							
3798907	"Dubreuil, Jean,d. 1775"	"10$aDictionnaire lyrique portatif;$bou, Choix des plus jolies ariettes de tous les genres, disposées pour la voix & les instrumens, avec les paroles françoises sous la musique."	"00$aParis,$bLacombe,$c1769."	2 v.	D 3604		990015355			No		RISM ID no. 	990015355	RISM ID no. 990015355
3798912	"Playford, Henry,1657-"	"14$aThe divine companion;$bbeing a collection of new and easie hymns and anthems for one, two and three voices,$ccompos'd by the best masters, and fitted for the use of those who already understand Mr. John Playford's Psalms in three parts.  To be used in churches or private families, for their greater advancement in divine musick."	"00$aLondon,$bPrinted by W. Pearson for H. Playford, and sold by J. Cullen,$c1705."	"[8], 96 p. (prelim. p. [8] advertisement)"	"II, 155 "		Not in RISM							
3798915	"Playford, John,1623-1686?"	"10$aChoice ayres,$bsongs, & dialogues to sing to the theorbo-lute or bass-viol; being most of the newest ayres, and songs, sung at Court, and at the publick theatres.$cComposed by several gentlemen of His Majesties musick, and others."	"00$aLondon,$bPrinted by W. Godbid, and are to be sold by L. Playford,$c1675."	"[4], 87, [1] p. ([1] p. at end advertisement)"		"I, 1675"	Not in RISM							
3798925	"Playford, John,1623-1686?"	"13$aAn introduction to the skill of musick.$bIn three books, containing: I. The grounds and principles of musick according to the gamut.  Being newly written, and made more easie for young practitioners, according to the method now in practice by an eminent master in that science.  II. Instructions and lessons for the treble, tenor and bass-viols, and also for the treble-violin.  III. The art of descant, or composing musick in parts, made very plain and easie by the late Mr. Henry Purcell."	"0\$aSavoy [London]$bPrinted by E. Jones for H. Playford,$c1697."	"[4], ix, [1], 134, [2] p. ([2] p. at end advertisement)illus., music, port."		"VI, 659"	Not in RISM							
3798934	"Pleyel, Ignaz,1757-1831."	00$aQuartetto.$bOp. 1.	"0\$a[n.p.,$c18--?]"	part 1?	P 3120		990050545			No	Titles do not match	RISM ID no. 	990050545	RISM ID no. 990050545
3798938	"Pleyel, Ignaz,1757-1831."	"00$a[Twelve quartettos for two violins,$ba tenor, & violoncello. Op. 9"	0\$aLondon?$c18--]	parts.	 P 3223					No	Book II	RISM ID no. 	"990050647, 990050672, 990050695, 990050623"	"RISM ID no. 990050647, 990050672, 990050695, 990050623"
3798938	"Pleyel, Ignaz,1757-1831."	"00$a[Twelve quartettos for two violins,$ba tenor, & violoncello. Op. 9"	0\$aLondon?$c18--]	parts.	P 3248					No	Book III	RISM ID no. 		RISM ID no. 
3798938	"Pleyel, Ignaz,1757-1831."	"00$a[Twelve quartettos for two violins,$ba tenor, & violoncello. Op. 9"	0\$aLondon?$c18--]	parts.	P 3271					No	Book IV	RISM ID no. 		RISM ID no. 
3798938	"Pleyel, Ignaz,1757-1831."	"00$a[Twelve quartettos for two violins,$ba tenor, & violoncello. Op. 9"	0\$aLondon?$c18--]	parts.	P 3198					No	Book I	RISM ID no. 		RISM ID no. 
3798962	"[Poisson, Léonard]1695-1753"	"10$aTraité théorique et pratique du plainchant,$bappelé grégorien, dans lequel on explique les vrais principes de cette science suivant les auteurs anciens & modernes; on donne des regles pour la composition du plain chant,$cavec des observations critiques sur le nouveaux livres de chant ..."	"0\$aParis,$bP.N. Lottin, & J.H. Butard,$c1750."	"[8], 419, [5] p.music, tables."		"VI, 661"	Not in RISM							
3798964	"Pollini, Francesco,1763-1846"	"10$aMetodo pel clavicembalo,$ccomposto da Francesco Pollini, socio onorario del R. Conservatorio di Musica di Milano.  Adottato dal R. Conservatorio medesimo, non che per le case di educazione nel regno ..."	"0\$aMilano,$bG. Ricordi$c[181-]"	84 p.	"PP 5070 I,64"		991025096			No		RISM ID no. 	991025096	RISM ID no. 991025096
3799049	"Purcell, Henry,1659-1695."	"14$aThe beauties of Purcell;$ba selection of the favorite songs, duetts, trios & chorusses, from the different works of Purcell.$cSelected, adapted & arranged (from the original scores) with an accompaniment for the piano forte by John Clarke."	"0\$aLondon,$bPrinted & sold by R. Birchall$c[1808-1810]"	2 v.	P 5993		990053223	P 5994		no		RISM ID no. 	990053223	RISM ID no. 990053223
3799095	"Corelli, Arcangelo,1653-1713."	"10$aCelebrated [2d] concerto ...$badapted for the organ, harpsichord, or piano forte$cby Thomas Billington.  Op. IX [i.e. 6]"	"0\$aLondon,$bPrinted for Mr. Billington$c[1784]"	"[1], 8-11 p."	C 3891		990011275			no		RISM ID no. 	990011275	RISM ID no. 990011275
3799113	"Rameau, Jean-Philippe,1683-1764"	"10$aNouveau systême de musique theorique,$boù l'on découvre le principe de toutes les regles necessaires à la pratique,$cpour servir d'introduction au Traité de l'harmonie."	"0\$aParis,$bDe l'Impr. de J.B.C. Ballard, seul imprimeur du Roy pour la musique,$c1726."	"viii, 114, [6] p.music, 2 fold. tables."		"VI, 683"	not in RISM							
3799126	"Rameau, Jean-Philippe,1683-1764"	10$aZaïs;$bballet héroīque ...	"0\$aParis,$bL'Auteur [etc.,$cca. 1748]"	"[1] p., score (32, 144, viii p.)"	R 169 		990053590			no		RISM ID no. 	990053590	RISM ID no. 990053590
3799133	"Ramoneda, Ignacio"	"10$aArte de canto-llano en compendio breve,$by methodo muy facil para que los particulares, que deben saberlo, adquieran con brevedad, y poco trabajo la inteligencia, y destreza conveniente."	"0\$aMadrid,$bImpr. de P. Marin,$c1778."	"[16], 216 p."		"VI, 687"	not in RISM							
3799138		"00$aRecueil d'airs de contredanses,$bmenuets et vaudevilles nouveaux, chantes sur les théâtres de l'Academie royalle de musique et de l'Opera comique, lesquels se jouent sur toutes sortes d'instruments."	"0\$aParis,$bMe Boivin [etc.,$cca. 1756]"	"17 parts in 1 ([2], 271, i.e. 298, p.)"		"II, 304"	not in RISM							
3799160	"Ribeiro de Almeida, João"	10$aElementos de musica.	"0\$aCoimbra,$bNa real imprensa da Universidade,$c1786."	"[7], 92 p.fold. plate (music)"		"I, 201"	not in RISM							
3799164	"Rist, Johannes,1607-1667"	"14$aDas friedejauchtzende Teutschland welches vermittelst eines neue Schauspieles,$btheils in ungebundener, theils in gebundener Rede und anmuhtigen Liederen, mit neuen,$cvon Herrn Michael Jakobi, künst- und lieblich gesetzten Melodeien ..."	"0\$aNürnberg,$bIn Verlegung Wolffgang dess Jüngern und J.A. Endtern,$c1653."	"[38], 262 p.front."	J 206		1001036803			no		RISM ID no. 	1001036803	RISM ID no. 1001036803
3799187	"Rolla, Alessandro,1757-1841"	00$aTre duetti per violino e viola.$bOpera X.	0\$a[Milano]$bPresso la stamperia di G. Re$c[18--]	2 parts.	R 2034		990055367			no		RISM ID no. 	990055367	RISM ID no. 990055367
3799203	"Rossetti, Biagio,active 16th century"	10$aLibellus de rudimentis musices.$bDe triplici musices specie.  De modo debite soluẽdi diuinũ pensum.  Et De auferendis nonnullis abusibus in dei templo.  Quę omnia sub compendio candidus lector inueniet.	"0\$a[Veronę,$bPer Stephanum, & fratres de Nicolinis de Sabio, sumptu & requisitione B. Rosetti,$c1529]"	[103] p.music.		"VI, 717"	not in RISM							
3799221	"Mozart, Wolfgang Amadeus,1756-1791."	"10$aTwenty four pieces (in three books)$bselected from the celebrated opera of Il don Giovanni, adapted for the piano forte with an accompaniment for the flute,$cby F. Fiorillo."	"0\$aLondon,$bPrinted & sold by R. Birchall$c[between 1789 and 1819]"	score (3 v. (74 p.))	MM 4677b		991009549			no		RISM ID no. 	991009549	RISM ID no. 991009549
3799224	"Mozart, Wolfgang Amadeus,1756-1791."	"10$aEight [i.e. 22] pieces selected from the celebrated opera of Le nozze di Figaro,$badapted for the piano forte or harp, with an accompaniment for the flute,$cby F. Fiorillo."	"0\$aLondon,$bPrinted & sold by R. Birchall$c[between 1789 and 1819]"	score (3 v. (57 p.))	MM 4501a		991009858			no		RISM ID no. 	991009858	RISM ID no. 991009858
3799266	"Sacchini, Antonio,1730-1786."	"10$aRenaud,$btragedie lyrique en trois actes.$cRepresentée pour la premiere fois ... le mardi 25 fevrier 1783."	"0\$aParis,$bLe Duc$c[1783]"	score (243 p.)	S 62		990056618			no		RISM ID no. 	990056618	RISM ID no. 990056618
3799270	"Sacchini, Antonio,1730-1786."	10$aDardanus;$btragédie lyrique en quatre actes.  Représentée pour la premiere fois devant leurs Majestés à Triannon le 18 septembre 1784 ...	"0\$aParis,$bLe Duc, Gravée par G. Magnian$c[ca. 1784]"	score (269 p.)	S 115		990056665			no		RISM ID no. 	990056665	RISM ID no. 990056665
3799275	"Sacchini, Antonio,1730-1786."	13$aLa colonie;$bopéra comique en deux actes.$cImité de l'italien & parodie sur la musique.	"0\$aParis,$bChez Le Duc$c[ca. 1785]"	"[1] p., score (211 p.)"	S 170		990056706			no		RISM ID no. 	990056706	RISM ID no. 990056706
3799279	"Sacchini, Antonio,1730-1786."	"10$aOEdipe à Colone;$bopera en trois actes de N.Fs. Guillard.$cReprésenté pour la première fois, devant leurs Majestes à Versailles le 4 janvier 1786 ...  Mis en musique par A. Sacchini."	"0\$aParis,$bImbault$c[ca. 1789]"	score (235 p.)	S 200		990056735			no		RISM ID no. 	990056735	RISM ID no. 990056735
3799281	"Sacchini, Antonio,1730-1786."	"12$aL'olympiade;$bou, Le triomphe de l'amitié; drame héroïque en trois actes et en vers.  Imité de l'italien et parodié sur la musique du Sgr Sacchini.  Representé pour la premiere fois par les Comédiens italiens ordinaires du Roi le 2 octobre 1777 ..."	"0\$aParis,$bMr d'Enouville$c[1777]"	score (219 p.)	S 243		990056772			no		RISM ID no. 	990056772	RISM ID no. 990056772
3799305	"Sammartini, Giovanni Battista,1700 or 1701-1775"	"00$aSix sonatas for two violins with a thorough bass for the harpsichord or violoncello$ccompos'd by Gio. Battista St. Martini, Sigr. Brioschi & other masters.  3d set."	"00$aLondon,$bI. Walsh$c[1746]"	"parts 1, 3"	S 678		990057177			No		RISM ID no. 	990057177	RISM ID no. 990057177
3799325	"Mozart, Wolfgang Amadeus,1756-1791."	10$aLison dormoit dans un bocage.	"00$a[London,$bT. Monzani,$cbetween 1803 and 1805]"	"9, [1] p. ([1] p. at end advertisement)"	M 6976		990045505			No		RISM ID no. 	990045505	RISM ID no. 990045505
3799331	"Mozart, Wolfgang Amadeus,1756-1791."	00$aAir with variations.	00$a[London]$bMonzani and Cimador$c[between 1800 and 1803]	13 p.	M 7110		990045637			No		RISM ID no. 	990045637	RISM ID no. 990045637
3799336	"Mozart, Wolfgang Amadeus,1756-1791."	"00$aSonata no. XXIV from op. 1, with a violin accompaniment."	00$a[London]$bMonzani & Cimador$c[between 1800 and 1803]	0.875	M 6481		990045015			No		RISM ID no. 	990045015	RISM ID no. 990045015
3799341	"Mozart, Wolfgang Amadeus,1756-1791."	00$aOvertura dell opera Il flauto magico.$bAdapted for the piano-forte.	00$a[London]$bMonzani & Cimador$b[between 1800 and 1803]	0.791666667	MM 4835a		991027007			No		RISM ID no. 	991027007	RISM ID no. 991027007
3799348	"Haydn, Joseph,1732-1809"	"00$aHaydn's favorite, a sonata for the harpsichord or piano forte ..."	"00$a[London,$bPrinted & sold by J. Bland,$cca. 1795]"	"[1], 152-159, [1] p."			Not in RISM				No RISM A or B number			
3799425	"Gelinek, Joseph,1758-1825"	"00$aAndante avec variations, pour le piano forte."	"00$aLondon,$bSold by Gianchettini & Sperati$c[between 1807 and 1811]"	0.708333333			Not in RISM							
